Julia's Classifier
---------------------------------------------
Expected results:

Accuracy: 0.529642
Precision: 0.540787
Recall: 0.519452
F1 Score: 0.529905



1	"Yo no creo que a nadie le haya encantado un pene flácido .
"	"Yo no creo que a nadie le haya encantado un pene flcido 
"
1	"No lo sabemos "" .
"	"No lo sabemos  
"
0	"Bang & Olufsen para asumir Sonos con el sistema de Transmisión de $ 1000 Essence
"	"Bang  Olufsen para asumir Sonos con el sistema de Transmisin de   Essence
"
1	"Operaciones afiliados a Anonymous continuaron siendo anunciadas en YouTube : Operación Libia , Operación Bahrein , Operación Marruecos .
"	"Operaciones afiliados a Anonymous continuaron siendo anunciadas en YouTube  Operacin Libia  Operacin Bahrein  Operacin Marruecos 
"
1	"John Lilly , ex CEO de Mozilla , y miembro de la junta , anunció su dimisión de la junta directiva de la compañía con una breve declaración .
"	"John Lilly  ex CEO de Mozilla  y miembro de la junta  anunci su dimisin de la junta directiva de la compaa con una breve declaracin 
"
0	"O , al menos , hacerlo recuar un par de años .
"	"O  al menos  hacerlo recuar un par de aos 
"
1	"Eso es más de $ 1 billón al trimestre de ingresos solo con la telefonía móvil .
"	"Eso es ms de   billn al trimestre de ingresos solo con la telefona mvil 
"
1	"Nuestros iPads son nuestras pantallas de vídeo personales , para que nosotros las sostengamos y las toquemos .
"	"Nuestros iPads son nuestras pantallas de vdeo personales  para que nosotros las sostengamos y las toquemos 
"
1	"Muchas mujeres no se quedan tan desempoderadas por los romances de la universidad como los medios de comunicación nos hace parecer .
"	"Muchas mujeres no se quedan tan desempoderadas por los romances de la universidad como los medios de comunicacin nos hace parecer 
"
1	"Apodado el "" Icon "" , el teléfono Lumia luce una pantalla de 5 pulgadas , una cámara de 20 megapíxeles , un procesador de cuatro núcleos y una batería de 2420 mAh .
"	"Apodado el  Icon   el telfono Lumia luce una pantalla de  pulgadas  una cmara de  megapxeles  un procesador de cuatro ncleos y una batera de  mAh 
"
1	"El comportamiento de sus usuarios no suele cambiar de un día para otro
"	"El comportamiento de sus usuarios no suele cambiar de un da para otro
"
1	"Para obtener más información acerca de Puzzle Piece , visite su sitio web o hacer preguntas en la página de Facebook de la compañía .
"	"Para obtener ms informacin acerca de Puzzle Piece  visite su sitio web o hacer preguntas en la pgina de Facebook de la compaa 
"
1	"Próximamente en Parenting.com !
"	"Prximamente en Parentingcom 
"
1	"Estará bien , Bill .
"	"Estar bien  Bill 
"
1	"Ella es un moderno Peter Parker , todos ustedes !
"	"Ella es un moderno Peter Parker  todos ustedes 
"
1	"Él no es una persona estúpida , por cualquier tramo .
"	"l no es una persona estpida  por cualquier tramo 
"
1	"¡ Al parecer todo es un truco promocional para el próximo cambio de formato de la radio , de la música Latina al hip-hop !
"	" Al parecer todo es un truco promocional para el prximo cambio de formato de la radio  de la msica Latina al hiphop 
"
1	"Para todo el bombo ( unas merecidas , otras infladas ) alrededor de las intersecciónes de sociales , locales y móviles , esa tendencia tendrá poco que ver con el poder de cambiar el mundo , como la intersección de las redes sociales y la realidad virtual .
"	"Para todo el bombo  unas merecidas  otras infladas  alrededor de las interseccines de sociales  locales y mviles  esa tendencia tendr poco que ver con el poder de cambiar el mundo  como la interseccin de las redes sociales y la realidad virtual 
"
1	"Se sentía especie de catarsis , pero no hubo rayo que golpeó a su casa , y mis ojos no se volvió rojo como lo harían si era la vida de Buffy The Vampire Slayer .
"	"Se senta especie de catarsis  pero no hubo rayo que golpe a su casa  y mis ojos no se volvi rojo como lo haran si era la vida de Buffy The Vampire Slayer 
"
1	"Lo que significa , querido heterosexual imaginario , que no necesitamos saltar a través del lente de la cámara para pedirte más mantenimiento .
"	"Lo que significa  querido heterosexual imaginario  que no necesitamos saltar a travs del lente de la cmara para pedirte ms mantenimiento 
"
1	"Pero te vas a quedar por ahí en la aventura de llamar a otros a venir .
"	"Pero te vas a quedar por ah en la aventura de llamar a otros a venir 
"
1	"Pero el caramelo de brazo de Nessa siempre se roba parte de la atención !
"	"Pero el caramelo de brazo de Nessa siempre se roba parte de la atencin 
"
1	"Y es una faena .
"	"Y es una faena 
"
1	"Él lanzó los ataques de redes WiFi públicas , utilizando su ordenador portátil personal , sin hacer mucho esfuerzo para ocultar sus huellas .
"	"l lanz los ataques de redes WiFi pblicas  utilizando su ordenador porttil personal  sin hacer mucho esfuerzo para ocultar sus huellas 
"
1	"La Ley de Asistencia Asequible intentó solucionar la escasez de opciones .
"	"La Ley de Asistencia Asequible intent solucionar la escasez de opciones 
"
1	"Eran menos sobre la frente gigante y las manos y codos deformados y parecen verte como "" caliente "" de repente .
"	"Eran menos sobre la frente gigante y las manos y codos deformados y parecen verte como  caliente  de repente 
"
1	"Clive Thompson , autor de Más Inteligente De Lo Que Piensa : Cómo La Tecnología Está Cambiando Nuestras Mentes Para Lo Mejor , lo ve como auto-exploración .
"	"Clive Thompson  autor de Ms Inteligente De Lo Que Piensa  Cmo La Tecnologa Est Cambiando Nuestras Mentes Para Lo Mejor  lo ve como autoexploracin 
"
1	"De hecho , Xiaomi está dirigido por Lei Jun , uno de los más influyentes y exitosos empresarios de tecnología de China .
"	"De hecho  Xiaomi est dirigido por Lei Jun  uno de los ms influyentes y exitosos empresarios de tecnologa de China 
"
0	"Saltar a los comentarios ( 159 )
"	"Saltar a los comentarios   
"
1	"¡ ¡ Revive la Fiesta AQUÍ !
"	"  Revive la Fiesta AQU 
"
0	"13 : 00-Un poco antes de 17 : 00
"	"  Un poco antes de   
"
1	""" Con toda esta información detrás de una pantalla oscura que necesita para activar el teléfono , usted necesita recordar sobre esta realidad - para comprobar - e incluso si hay algunas notificaciones y recordatorios que acaba de estallar durante unos segundos y te lo puedes perder "" , dijo Martynov .
"	" Con toda esta informacin detrs de una pantalla oscura que necesita para activar el telfono  usted necesita recordar sobre esta realidad  para comprobar  e incluso si hay algunas notificaciones y recordatorios que acaba de estallar durante unos segundos y te lo puedes perder   dijo Martynov 
"
1	"Tuve mis hijos y sus rutinas de la escuela y las tareas y la práctica del piano y el trabajo y los proyectos y las reuniones y fechas límite .
"	"Tuve mis hijos y sus rutinas de la escuela y las tareas y la prctica del piano y el trabajo y los proyectos y las reuniones y fechas lmite 
"
1	"Se ha anunciado por la cadena NBC que un reboot Heroes , Heroes Reborn , tendrán una mini-serie de 13 episodios en el 2015 !
"	"Se ha anunciado por la cadena NBC que un reboot Heroes  Heroes Reborn  tendrn una miniserie de  episodios en el  
"
1	"Mi otro gran dilema es si lo inscribo en un preescolar durante medio día o día completo ... las escuelas que estoy viendo ofrecen una de las dos opciones , pero no puedo elegir ambas .
"	"Mi otro gran dilema es si lo inscribo en un preescolar durante medio da o da completo  las escuelas que estoy viendo ofrecen una de las dos opciones  pero no puedo elegir ambas 
"
0	"Estar en The Daily Show !
"	"Estar en The Daily Show 
"
1	"Nest se dio cuenta de un problema y está intentando hacer que sus usuarios regresen a la versión 3.5.3 que es una actualización más confiable , pero no ha logrado acoplarse a las necesidades de los usuarios pagándose con frecuencia , y los clientes están quejándose de mucho tiempo de espera en la línea telefónica de ayuda .
"	"Nest se dio cuenta de un problema y est intentando hacer que sus usuarios regresen a la versin  que es una actualizacin ms confiable  pero no ha logrado acoplarse a las necesidades de los usuarios pagndose con frecuencia  y los clientes estn quejndose de mucho tiempo de espera en la lnea telefnica de ayuda 
"
1	"El Giver Obtiene un nuevo Teaser Con El Blanco y Negro Escena muy demandados , excepto que es más confuso que suena !
"	"El Giver Obtiene un nuevo Teaser Con El Blanco y Negro Escena muy demandados  excepto que es ms confuso que suena 
"
1	"Pero me pregunté , mientras yo estaba allí , si alguno de los profesores hicieron .
"	"Pero me pregunt  mientras yo estaba all  si alguno de los profesores hicieron 
"
0	"En otras palabras , "" Déjame condescenderle por decirle a todos tus prioridades y valores son estúpidos y luego comer el pastel impresionante que había comprado para mí .
"	"En otras palabras   Djame condescenderle por decirle a todos tus prioridades y valores son estpidos y luego comer el pastel impresionante que haba comprado para m 
"
1	"Para participar , había que saber los nombres de los canales traseros , los cuales podrían cambiar para desviar los intrusos .
"	"Para participar  haba que saber los nombres de los canales traseros  los cuales podran cambiar para desviar los intrusos 
"
1	"El que yo tuve que borrar de Facebook para que no volvería a ver fotos de su cara presumida siendo feliz con alguien nuevo .
"	"El que yo tuve que borrar de Facebook para que no volvera a ver fotos de su cara presumida siendo feliz con alguien nuevo 
"
1	"¿ Crees que estás contando la historia no contada porque condujiste tu propio coche al gueto para conseguir algunas citas y algunos fotos de los niños temblorosos por 10 pulgadas de una columna escrita al costo del gas natural y de una familia que tenía su calefacción apagada ?
"	" Crees que ests contando la historia no contada porque condujiste tu propio coche al gueto para conseguir algunas citas y algunos fotos de los nios temblorosos por  pulgadas de una columna escrita al costo del gas natural y de una familia que tena su calefaccin apagada 
"
1	"Si él puede besar a mi-Size Barbie Clare en una cesta de bambú en el río frente de Camila , y todo el mundo , y Vietnam , y Dios , él puede besar a Renee al final de una cita como un adulto maldito .
"	"Si l puede besar a miSize Barbie Clare en una cesta de bamb en el ro frente de Camila  y todo el mundo  y Vietnam  y Dios  l puede besar a Renee al final de una cita como un adulto maldito 
"
1	"Incluso si no has hecho ningún acto sexual específico , ella entró en tantos detalles la mañana siguiente , que sentiste como si casi lo hubieras hecho .
"	"Incluso si no has hecho ningn acto sexual especfico  ella entr en tantos detalles la maana siguiente  que sentiste como si casi lo hubieras hecho 
"
1	"En Bélgica un museo es abrir , dedicado a la obra de Hergé , creador de Tintín , cuyo verdadero nombre era Georges Remi .
"	"En Blgica un museo es abrir  dedicado a la obra de Herg  creador de Tintn  cuyo verdadero nombre era Georges Remi 
"
1	"Has estado saliendo con el potencial , no con la persona .
"	"Has estado saliendo con el potencial  no con la persona 
"
1	"Disculpen , se puso un poco raro por un momento .
"	"Disculpen  se puso un poco raro por un momento 
"
1	"Le dije que me encantaba la forma de sus gafas coordinados con su traje y quería tomar una foto y así ayudar a su dios que ella está planeando mi muerte .
"	"Le dije que me encantaba la forma de sus gafas coordinados con su traje y quera tomar una foto y as ayudar a su dios que ella est planeando mi muerte 
"
0	"Hace cinco años yo tengo participado en celebraciones extensas y exhaustivas de lo aniversario de 20 años de las revoluciones de terciopelo de 1989 - antes Munich , hoy Praga , mañana Varsovia - y cuando habían terminado , respiré en signo de alivio .
"	"Hace cinco aos yo tengo participado en celebraciones extensas y exhaustivas de lo aniversario de  aos de las revoluciones de terciopelo de   antes Munich  hoy Praga  maana Varsovia  y cuando haban terminado  respir en signo de alivio 
"
1	"¿ Por qué era importante que la misión fuera sólo de ida ?
"	" Por qu era importante que la misin fuera slo de ida 
"
1	"- Se aplicarán las restricciones del gubernamentales sobre el contenido sólo cuando y en la medida requerida .
"	" Se aplicarn las restricciones del gubernamentales sobre el contenido slo cuando y en la medida requerida 
"
1	"La reciente fortaleza de la libra ha hecho mella en las exportaciones británicas , pero los ministros estarán ansiosos acerca de cualquier movimientos de divisas que muestran una falta de confianza en el futuro de la moneda .
"	"La reciente fortaleza de la libra ha hecho mella en las exportaciones britnicas  pero los ministros estarn ansiosos acerca de cualquier movimientos de divisas que muestran una falta de confianza en el futuro de la moneda 
"
1	"El comercio electrónico en la India está en auge , a medida que más consumidores a obtener en línea y la llamada "" clase media aspiracional "" busca aumentar el gasto en productos de moda .
"	"El comercio electrnico en la India est en auge  a medida que ms consumidores a obtener en lnea y la llamada  clase media aspiracional  busca aumentar el gasto en productos de moda 
"
0	") Crohn podría decir esto en los primeros dos segundos , antes de Naessens siquiera abrió su boca .
"	" Crohn podra decir esto en los primeros dos segundos  antes de Naessens siquiera abri su boca 
"
1	"Ahora tengo que usar gafas de sol mientras levanto pesas .
"	"Ahora tengo que usar gafas de sol mientras levanto pesas 
"
1	"proporciona el ejemplo anecdótico acerca de no tener seguro de salud .
"	"proporciona el ejemplo anecdtico acerca de no tener seguro de salud 
"
1	"El producto en sí parecía ir más despacio , mientras que el negocio ratcheted arriba .
"	"El producto en s pareca ir ms despacio  mientras que el negocio ratcheted arriba 
"
0	""" Durante una semana de maratón de ADD el otoño pasado , Elaina S. ( no es su verdadero nombre ) , de 35 años que trabaja en finanzas en la Ciudad de Nueva York , conoció a su novio , Jack , a través de Tinder - a pesar de que casi no lo consideró entre otras opciones .
"	" Durante una semana de maratn de ADD el otoo pasado  Elaina S  no es su verdadero nombre   de  aos que trabaja en finanzas en la Ciudad de Nueva York  conoci a su novio  Jack  a travs de Tinder  a pesar de que casi no lo consider entre otras opciones 
"
1	"La inversión proviene de SmartCap ( el brazo de inversión del Fondo de Desarrollo de Estonia financiado por los contribuyentes ) , Nordic VC Inventure , y varios inversionistas ángeles de Estonia y en otros lugares .
"	"La inversin proviene de SmartCap  el brazo de inversin del Fondo de Desarrollo de Estonia financiado por los contribuyentes   Nordic VC Inventure  y varios inversionistas ngeles de Estonia y en otros lugares 
"
1	"Cisgénero : Las personas que sienten que su sexo asignado de nacimiento coincide con la identidad personal de género se consideran cisgénero ( abreviado como "" cis "" , si te gusta eso ) .
"	"Cisgnero  Las personas que sienten que su sexo asignado de nacimiento coincide con la identidad personal de gnero se consideran cisgnero  abreviado como  cis   si te gusta eso  
"
1	"Etiquetas : alex newell , Chris Colfer , exclusividades , golpear gay , gay gay gay , GLAAD Media Awards , inspiración , noticias tv
"	"Etiquetas  alex newell  Chris Colfer  exclusividades  golpear gay  gay gay gay  GLAAD Media Awards  inspiracin  noticias tv
"
1	"A diferencia de otro adolescente de ficción con trabajo periodístico -el personaje cómico americano : Spiderman ( interpretado como fotógrafo independiente en la vida civil ) -Tintin no es un extraño , o un rebelde contra el orden establecido .
"	"A diferencia de otro adolescente de ficcin con trabajo periodstico el personaje cmico americano  Spiderman  interpretado como fotgrafo independiente en la vida civil  Tintin no es un extrao  o un rebelde contra el orden establecido 
"
0	"Taylor Swift Escritura Pal Ryan Tedder Derrames Deets en su nuevo disco y estará listo Creer En Su cantautores Skillz !
"	"Taylor Swift Escritura Pal Ryan Tedder Derrames Deets en su nuevo disco y estar listo Creer En Su cantautores Skillz 
"
1	"Yo no se dejó engañar más .
"	"Yo no se dej engaar ms 
"
1	"tal vez me estoy poniendo conservador en mi vejez , o tal vez sólo siento menos necesidad de acaparar los titulares en estos días .
"	"tal vez me estoy poniendo conservador en mi vejez  o tal vez slo siento menos necesidad de acaparar los titulares en estos das 
"
1	"Entonces Karen le solicitó a Amber que la compensara por sus recomendaciones , y así se inició el programa de referidos : si recomiendas a alguien , rewardStyle te paga un porcentaje de sus ganancias obtenidas por esa persona durante un año .
"	"Entonces Karen le solicit a Amber que la compensara por sus recomendaciones  y as se inici el programa de referidos  si recomiendas a alguien  rewardStyle te paga un porcentaje de sus ganancias obtenidas por esa persona durante un ao 
"
0	"Kwasman postuló para la nominación republicana en el distrito electoral local , pero fue derrotado rotundamente en la primera ..
"	"Kwasman postul para la nominacin republicana en el distrito electoral local  pero fue derrotado rotundamente en la primera 
"
1	"Por desgracia , esto no es Wicked o alquiler .
"	"Por desgracia  esto no es Wicked o alquiler 
"
1	""" Cuando las personas se van , quieren olvidar que alguna vez tuvieron aquí "" , dice June , uno de los dos cálidos pero firmes mujeres gerentes en el lugar durante todo el día , que mantienen problemas y filas al mínimo .
"	" Cuando las personas se van  quieren olvidar que alguna vez tuvieron aqu   dice June  uno de los dos clidos pero firmes mujeres gerentes en el lugar durante todo el da  que mantienen problemas y filas al mnimo 
"
1	"El libro de Brian Yorkey nos hizo gemir literalmente de forma repetitiva .
"	"El libro de Brian Yorkey nos hizo gemir literalmente de forma repetitiva 
"
1	"El producto nunca ha sido mejor y se siente tan vivo hoy como lo hizo la primera vez conectado , hace casi siete años .
"	"El producto nunca ha sido mejor y se siente tan vivo hoy como lo hizo la primera vez conectado  hace casi siete aos 
"
1	"El respeto va en un muy , muy largo camino .
"	"El respeto va en un muy  muy largo camino 
"
1	"¿ Hay que decidir sobre una instalación donde podríamos situar ella si llegara el momento ?
"	" Hay que decidir sobre una instalacin donde podramos situar ella si llegara el momento 
"
1	"Luego , a medida que avanza la semana , los empleados marcan cosas por hacer , mover automáticamente los artículos en los Planes de Progreso , así como la presentación de informes de indicadores "" blandos "" como calificación de su felicidad trabajo .
"	"Luego  a medida que avanza la semana  los empleados marcan cosas por hacer  mover automticamente los artculos en los Planes de Progreso  as como la presentacin de informes de indicadores  blandos  como calificacin de su felicidad trabajo 
"
0	"Para utilizar Picasso ATM , propietarios bitcoin primera carga la moneda en la BTC de China Picasso Monedero y luego lo venden a través de la aplicación Web .
"	"Para utilizar Picasso ATM  propietarios bitcoin primera carga la moneda en la BTC de China Picasso Monedero y luego lo venden a travs de la aplicacin Web 
"
1	"También tenemos un "" June Gloom "" que se asienta sobre la ciudad al final de la primavera , gracias a una niebla marina que se arrastra debido al calentamiento de la temperatura del océano .
"	"Tambin tenemos un  June Gloom  que se asienta sobre la ciudad al final de la primavera  gracias a una niebla marina que se arrastra debido al calentamiento de la temperatura del ocano 
"
0	") "" Sorprendentemente son muy pocas las personas que violan la regla "" en contra de llamar la atención , dice Coleman .
"	"  Sorprendentemente son muy pocas las personas que violan la regla  en contra de llamar la atencin  dice Coleman 
"
1	"Escribió que una parte fundamental de cualquier nueva negociación pertenencia a la demandante a que se comprometan a la UEM , y que implicaba la "" voluntad y la capacidad prevista "" para cumplir con las pruebas para entrar en el euro - una política Salmond ha rechazado en repetidas ocasiones .
"	"Escribi que una parte fundamental de cualquier nueva negociacin pertenencia a la demandante a que se comprometan a la UEM  y que implicaba la  voluntad y la capacidad prevista  para cumplir con las pruebas para entrar en el euro  una poltica Salmond ha rechazado en repetidas ocasiones 
"
1	"A esto se añádele la diversidad pura que encontrarás en nuestras calles gracias a las comunidades de expatriados : tenemos la mayor población coreana fuera de Corea y la mayor población tailandesa fuera de Tailandia .
"	"A esto se adele la diversidad pura que encontrars en nuestras calles gracias a las comunidades de expatriados  tenemos la mayor poblacin coreana fuera de Corea y la mayor poblacin tailandesa fuera de Tailandia 
"
1	"Los Mac son la única categoría de equipo que ha ganado participación en la industria del PC en 31 de los últimos 32 trimestres , también ( eso son , cuatro años , en caso de que necesite ayuda con las matemáticas ) .
"	"Los Mac son la nica categora de equipo que ha ganado participacin en la industria del PC en  de los ltimos  trimestres  tambin  eso son  cuatro aos  en caso de que necesite ayuda con las matemticas  
"
1	"Pero creo que la mayor parte de esta discusión estea fallando el punto principal .
"	"Pero creo que la mayor parte de esta discusin estea fallando el punto principal 
"
1	"Las protestas comenzaron hace una semana con un boicot de clases por los estudiantes universitarios requiriendo reformas de la legislatura local y la retirada de los requerimientos de Beijing de pasar por el tamiz los candidatos electorales exigentes .
"	"Las protestas comenzaron hace una semana con un boicot de clases por los estudiantes universitarios requiriendo reformas de la legislatura local y la retirada de los requerimientos de Beijing de pasar por el tamiz los candidatos electorales exigentes 
"
1	"Para muchos estamos todos sobre estilo superficial , flash falso , y el brillo de renombre mundial de las industrias creativas .
"	"Para muchos estamos todos sobre estilo superficial  flash falso  y el brillo de renombre mundial de las industrias creativas 
"
1	"¿ Por qué están aún buscando a otros directores , sin embargo ?
"	" Por qu estn an buscando a otros directores  sin embargo 
"
1	"Yo todavía estaba despertando una gran parte del tiempo y tratar con mi depresión y la ansiedad .
"	"Yo todava estaba despertando una gran parte del tiempo y tratar con mi depresin y la ansiedad 
"
1	"Encasillado como : La un tanto desaliñada ( pre-cambio de imagen ) underdog con brío y la integridad que , o bien quiere o tiene el trabajo de un idealista de baja remuneración .
"	"Encasillado como  La un tanto desaliada  precambio de imagen  underdog con bro y la integridad que  o bien quiere o tiene el trabajo de un idealista de baja remuneracin 
"
1	"Este artículo fue publicado originalmente como "" El Amigo Que Jodé "" en la edición de abril 2014 de Cosmopolitan .
"	"Este artculo fue publicado originalmente como  El Amigo Que Jod  en la edicin de abril  de Cosmopolitan 
"
1	"La Iglesia de la Cienciología , una organización que al parecer tiene más de mil millones de dólares en activos , podría soportar el agotamiento de sus cartuchos de tinta .
"	"La Iglesia de la Cienciologa  una organizacin que al parecer tiene ms de mil millones de dlares en activos  podra soportar el agotamiento de sus cartuchos de tinta 
"
1	"Sus admiradores disfrutaron de la atención , luego se agachó para acariciar a los perros ( BearandLuca , 279 seguidores ) antes de posar para más fotos .
"	"Sus admiradores disfrutaron de la atencin  luego se agach para acariciar a los perros  BearandLuca   seguidores  antes de posar para ms fotos 
"
1	"Al frente de un nuevo fondo de inversión interno "" Sevastopol Tech City "" o ( STCiti para abreviar ) , que ha sido acusado de atraer a nuevas empresas de tecnología , tanto desde dentro de las inmediaciones de Rusia y Europa continental ( sin embargo , ningún país directamente al norte son elegibles para solicitar su programa ) .
"	"Al frente de un nuevo fondo de inversin interno  Sevastopol Tech City  o  STCiti para abreviar   que ha sido acusado de atraer a nuevas empresas de tecnologa  tanto desde dentro de las inmediaciones de Rusia y Europa continental  sin embargo  ningn pas directamente al norte son elegibles para solicitar su programa  
"
0	"No necesito ese ruido en mi vida .
"	"No necesito ese ruido en mi vida 
"
1	"Todo el concepto de la serie , una estafa musical de la película de Gwyneth Paltrow Sliding Doors , hace un flaco favor a la materia y actores .
"	"Todo el concepto de la serie  una estafa musical de la pelcula de Gwyneth Paltrow Sliding Doors  hace un flaco favor a la materia y actores 
"
1	"Sabemos lo que estás pensando , "" Nos encanta esa canción !
"	"Sabemos lo que ests pensando   Nos encanta esa cancin 
"
1	"Recibo Walt Disney World Ayuda a exonerar Hombre Después de 24 años de prisión !
"	"Recibo Walt Disney World Ayuda a exonerar Hombre Despus de  aos de prisin 
"
0	"Tintín nunca ha caído en desgracia con la ley francesa de 1949 sobre la literatura infantil .
"	"Tintn nunca ha cado en desgracia con la ley francesa de  sobre la literatura infantil 
"
1	"Esto constituye una violación de la libertad condicional a un juez lo puso en la espalda en 2009 por piedad y golpear brutalmente a Rihanna !
"	"Esto constituye una violacin de la libertad condicional a un juez lo puso en la espalda en  por piedad y golpear brutalmente a Rihanna 
"
1	"En una carta , Gérard le exigió a Hergé que ratificara la "" propaganda odiosa "" de Le Soir o que manifestara su desacuerdo con la ocupación alemana conocida .
"	"En una carta  Grard le exigi a Herg que ratificara la  propaganda odiosa  de Le Soir o que manifestara su desacuerdo con la ocupacin alemana conocida 
"
1	"Ahora que los árboles han perdido sus hojas y el sol se sienta mucho más bajo en el cielo , comidas aquí se siente mucho más como señor de las moscas .
"	"Ahora que los rboles han perdido sus hojas y el sol se sienta mucho ms bajo en el cielo  comidas aqu se siente mucho ms como seor de las moscas 
"
1	"Stormtrooper : muévanse ... muévanse .
"	"Stormtrooper  muvanse  muvanse 
"
1	"Así que para muchos niños menores de 12 o menos , el iPad es para juegos y películas , y la lectura se hace sobre todo en los libros físicos .
"	"As que para muchos nios menores de  o menos  el iPad es para juegos y pelculas  y la lectura se hace sobre todo en los libros fsicos 
"
1	"Grandes elogios y crédito para el director Alex Timbers por su visión y ejecución de todos estos elementos de forma tan impecable !
"	"Grandes elogios y crdito para el director Alex Timbers por su visin y ejecucin de todos estos elementos de forma tan impecable 
"
0	""" El mayor movimiento del mundo va a venir de 4chan ?
"	" El mayor movimiento del mundo va a venir de chan 
"
1	"Durante años , los expertos y los analistas han sugerido que la única manera de Apple para competir contra los teléfonos Android de menor costo , sobre todo en China y en toda Asia , era producir un iPhone barato .
"	"Durante aos  los expertos y los analistas han sugerido que la nica manera de Apple para competir contra los telfonos Android de menor costo  sobre todo en China y en toda Asia  era producir un iPhone barato 
"
1	"Cada vez que hacemos que Isaac limpie una habitación , movemos los muebles de la habitación por completo , empujando sillas y el sofá a un lado y enrollando las alfombras , le pases largos , fáciles a través de la sala de dar .
"	"Cada vez que hacemos que Isaac limpie una habitacin  movemos los muebles de la habitacin por completo  empujando sillas y el sof a un lado y enrollando las alfombras  le pases largos  fciles a travs de la sala de dar 
"
0	"Hoy Facebook compró Oculus Rift por $ 2 mil millones .
"	"Hoy Facebook compr Oculus Rift por   mil millones 
"
1	"Para los residentes de la Vía de Inglaterra , comienza un proceso de licitación frenética .
"	"Para los residentes de la Va de Inglaterra  comienza un proceso de licitacin frentica 
"
1	"¿ He de cerrar la puerta del garaje cuando me fui ?
"	" He de cerrar la puerta del garaje cuando me fui 
"
1	"Sin embargo , me encantó Ella
"	"Sin embargo  me encant Ella
"
1	"Ese movimiento es visto por muchos residentes como no cumplir sus promesas de permitir una mayor democracia en el territorio semi-autónomo , desde que Pekín había prometido que el jefe del Ejecutivo , finalmente , sería elegido por "" sufragio universal "" .
"	"Ese movimiento es visto por muchos residentes como no cumplir sus promesas de permitir una mayor democracia en el territorio semiautnomo  desde que Pekn haba prometido que el jefe del Ejecutivo  finalmente  sera elegido por  sufragio universal  
"
1	""" En el primer trimestre del 2014 , nuestras tres empresas entregan un rendimiento sólido .
"	" En el primer trimestre del   nuestras tres empresas entregan un rendimiento slido 
"
1	"En los últimos tres meses en los EE.UU. , las ventas de teléfonos de Apple cayeron un 7,7 puntos porcentuales , hasta el 38,9 % de las ventas en comparación con hace un año .
"	"En los ltimos tres meses en los EEUU  las ventas de telfonos de Apple cayeron un  puntos porcentuales  hasta el   de las ventas en comparacin con hace un ao 
"
1	"( Mi boda del mejor amigo , La cosa más dulce , Loco por Mary , La decisión de Anne , Lo que pasa en Las Vegas , ¿ Qué esperar cuando se está esperando ) Encasillada como : Muchacha fiestera con un lado dulce secreto .
"	" Mi boda del mejor amigo  La cosa ms dulce  Loco por Mary  La decisin de Anne  Lo que pasa en Las Vegas   Qu esperar cuando se est esperando  Encasillada como  Muchacha fiestera con un lado dulce secreto 
"
1	"Repugnante es una palabra fuerte , sí , pero el niño por lo general quiere que se unan , y cuando fue la última vez que cruzó los ojos ?
"	"Repugnante es una palabra fuerte  s  pero el nio por lo general quiere que se unan  y cuando fue la ltima vez que cruz los ojos 
"
1	"Ate los panecillos que el padre de la anfitriona tomó para el desayuno .
"	"Ate los panecillos que el padre de la anfitriona tom para el desayuno 
"
1	"Mientras un niño sólo toma leche materna , descubrí que uno puede disfrutar de la ilusión de un sistema cerrado , un cuerpo que aún no está en diálogo con las impurezas de la granja y la fábrica .
"	"Mientras un nio slo toma leche materna  descubr que uno puede disfrutar de la ilusin de un sistema cerrado  un cuerpo que an no est en dilogo con las impurezas de la granja y la fbrica 
"
0	"Este golpe de suerte les ha bóveda de un salto de la liga de los perdedores a ganadores de vivienda en el gran juego de propiedad británica .
"	"Este golpe de suerte les ha bveda de un salto de la liga de los perdedores a ganadores de vivienda en el gran juego de propiedad britnica 
"
1	"Esto no va a ser fácil para muchas personas que aún parecen pensar que pueden regar sus céspedes cada mañana .
"	"Esto no va a ser fcil para muchas personas que an parecen pensar que pueden regar sus cspedes cada maana 
"
1	"Una estrategia pasiva pero potencialmente agresiva para una aplicación móvil
"	"Una estrategia pasiva pero potencialmente agresiva para una aplicacin mvil
"
1	"Por un golpe de suerte maravillosamente repugnante de smackeroos empapados !
"	"Por un golpe de suerte maravillosamente repugnante de smackeroos empapados 
"
0	""" No hay Daisy Dukes en este guión .
"	" No hay Daisy Dukes en este guin 
"
1	"Esto es lo MEJOR , amigos .
"	"Esto es lo MEJOR  amigos 
"
0	""" Déjalo ir "" es probablemente el consejo que doy con mayor frecuencia a los amigos , pero no tienen en mí mismo .
"	" Djalo ir  es probablemente el consejo que doy con mayor frecuencia a los amigos  pero no tienen en m mismo 
"
1	"Cuál es el punto .
"	"Cul es el punto 
"
1	"Él está haciendo una reaparición !
"	"l est haciendo una reaparicin 
"
0	"Detesto hacerlo .
"	"Detesto hacerlo 
"
